licenseNumber,licenseType,licenseStatus,businessDbaName,businessLegalName,premiseCounty,issueDate,expirationDate,licenseTerm,licenseDesignation,businessOwnerName,businessEmail,businessPhone,activity,licenseStatusDate,businessStructure
CCL18-0000004,Cultivation -  Medium Outdoor,Active,Data Not Available,"Schackow Farms, INC",Humboldt,2/28/2019 0:00,2/28/2024 0:00,Annual,Adult-Use,Matthew schackow,Data Not Available,(707) 834-3036,Data Not Available,12/30/2023 0:00,Corporation
CCL18-0000005,Cultivation -  Small Outdoor,Active,Data Not Available,South Slope Farms Inc.,Mendocino,3/14/2019 0:00,3/14/2024 0:00,Provisional,Medicinal,Mike Downes,Data Not Available,(707) 354-1686,Data Not Available,1/18/2023 0:00,Corporation
CCL18-0000007,Cultivation -  Small Mixed-Light Tier 1,Expired,Data Not Available,Homegrown LLC,Trinity,4/6/2019 0:00,4/6/2022 0:00,Annual,Adult-Use,"Amy Recca, Joel Skaggs",Data Not Available,(530) 629-3094,Data Not Available,5/6/2022 0:00,Limited Liability Company
CCL18-0000008,Cultivation -  Specialty Cottage Indoor,Expired,Data Not Available,Triangle Farms,Mendocino,5/6/2019 0:00,5/6/2023 0:00,Provisional,Adult-Use,"Kathleen Hayes, William Hayes",Data Not Available,(707) 357-1886,Data Not Available,6/5/2023 0:00,Sole Proprietorship
CCL18-0000009,Cultivation -  Small Outdoor,Active,Data Not Available,Ice Box Flat Farms LLC,Humboldt,3/8/2019 0:00,3/8/2024 0:00,Annual,Adult-Use,Patrick Andrews,Data Not Available,(707) 601-5250,Data Not Available,1/10/2023 0:00,Limited Liability Company
CCL18-0000010,Cultivation -  Medium Outdoor,Active,Data Not Available,"Calisun Farms, Inc.",Humboldt,5/22/2019 0:00,5/22/2024 0:00,Annual,Adult-Use,Daniel Salazar,Data Not Available,(530) 966-6889,Data Not Available,3/27/2023 0:00,Corporation
CCL18-0000011,Cultivation -  Small Outdoor,Active,Data Not Available,"ABB Farms, LLC",Trinity,5/6/2019 0:00,5/6/2024 0:00,Annual,Adult-Use,"Brian Sullivan, Madison Sullivan",Data Not Available,(530) 410-1378,Data Not Available,4/17/2023 0:00,Limited Liability Company
CCL18-0000012,Cultivation -  Small Mixed-Light Tier 2,Active,Data Not Available,"ET Farms, Inc.",Mendocino,4/17/2019 0:00,4/17/2024 0:00,Provisional,Adult-Use,Nayef Asfour,Data Not Available,(707) 391-0899,Data Not Available,4/11/2023 0:00,Corporation
CCL18-0000014,Cultivation -  Specialty Cottage Outdoor,Expired,Data Not Available,Livicated Farm,Mendocino,3/3/2019 0:00,3/3/2022 0:00,Provisional,Adult-Use,Jeremiah Woodard,Data Not Available,(703) 593-1102,Data Not Available,4/2/2022 0:00,Sole Proprietorship
CCL18-0000015,Cultivation -  Medium Outdoor,Active,Data Not Available,Tohnic,Humboldt,5/28/2019 0:00,5/28/2024 0:00,Annual,Adult-Use,Chad Steelman,Data Not Available,(707) 798-0908,Data Not Available,5/24/2023 0:00,Corporation
CCL18-0000016,Cultivation -  Specialty Cottage Mixed-Light Tier 2,Active,Data Not Available,Willow Creekside Farms Inc.,Humboldt,1/4/2019 0:00,1/4/2025 0:00,Annual,Adult-Use,Tyler Frazier,Data Not Available,(707) 616-9346,Data Not Available,12/11/2023 0:00,Corporation
CCL18-0000017,Cultivation -  Small Outdoor,Active,Data Not Available,Willow Creekside Farms Inc.,Humboldt,1/4/2019 0:00,1/4/2025 0:00,Annual,Adult-Use,Tyler Frazier,Data Not Available,(707) 616-9346,Data Not Available,12/11/2023 0:00,Corporation
CCL18-0000018,Cultivation -  Medium Indoor,Active,Data Not Available,"Coyote Park, LLC",Kern,3/12/2019 0:00,3/12/2024 0:00,Annual,Adult-Use,Gary Marsh,Data Not Available,(661) 333-9140,Data Not Available,3/7/2023 0:00,Limited Liability Company
CCL18-0000020,Cultivation -  Specialty Cottage Outdoor,Expired,Data Not Available,peabody,Mendocino,4/7/2019 0:00,4/7/2021 0:00,Provisional,Medicinal,robert peabody,Data Not Available,(707) 459-6035,Data Not Available,5/7/2021 0:00,Sole Proprietorship
CCL18-0000021,Cultivation -  Small Indoor,Active,Data Not Available,"CK ENDEAVORS, INC",Riverside,4/4/2019 0:00,4/4/2024 0:00,Annual,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4935,Data Not Available,3/31/2023 0:00,Corporation
CCL18-0000022,Cultivation -  Nursery,Active,Data Not Available,"CK ENDEAVORS, INC",Riverside,3/13/2019 0:00,3/13/2024 0:00,Annual,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4935,Data Not Available,3/9/2023 0:00,Corporation
CCL18-0000023,Cultivation -  Small Indoor,Surrendered,Data Not Available,"JM Endeavors, Inc.",Riverside,3/4/2019 0:00,3/4/2024 0:00,Provisional,Adult-Use,"Charlie Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4935,Data Not Available,11/1/2023 0:00,Corporation
CCL18-0000024,Cultivation -  Small Indoor,Surrendered,Data Not Available,"JM Endeavors, Inc.",Riverside,3/4/2019 0:00,3/4/2024 0:00,Provisional,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4936,Data Not Available,11/1/2023 0:00,Corporation
CCL18-0000025,Cultivation -  Medium Indoor,Surrendered,Data Not Available,"JM Endeavors, Inc.",Riverside,3/20/2019 0:00,3/20/2024 0:00,Provisional,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4936,Data Not Available,11/1/2023 0:00,Corporation
CCL18-0000026,Cultivation -  Small Indoor,Surrendered,Data Not Available,"JM Endeavors, Inc.",Riverside,3/4/2019 0:00,3/4/2024 0:00,Provisional,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4936,Data Not Available,11/1/2023 0:00,Corporation
CCL18-0000027,Cultivation -  Specialty Indoor,Active,Data Not Available,"Princess Farms, Inc.",San Bernardino,7/5/2019 0:00,7/5/2024 0:00,Annual,Adult-Use,"Daniel Sun, Janice Simmons",Data Not Available,(951) 347-7452,Data Not Available,6/30/2023 0:00,Corporation
CCL18-0000028,Cultivation -  Nursery,Expired,Data Not Available,"JM Endeavors, Inc.",Riverside,3/18/2019 0:00,3/18/2022 0:00,Provisional,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4936,Data Not Available,4/17/2022 0:00,Corporation
CCL18-0000030,Cultivation -  Small Indoor,Active,Data Not Available,"CK ENDEAVORS, INC",Riverside,3/4/2019 0:00,3/4/2024 0:00,Annual,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4935,Data Not Available,1/4/2024 0:00,Corporation
CCL18-0000031,Cultivation -  Small Indoor,Active,Data Not Available,"CK ENDEAVORS, INC",Riverside,3/13/2019 0:00,3/13/2024 0:00,Annual,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4935,Data Not Available,3/9/2023 0:00,Corporation
CCL18-0000032,Cultivation -  Processor,Surrendered,Data Not Available,"JM Endeavors, Inc.",Riverside,3/28/2019 0:00,3/28/2020 0:00,Provisional,Adult-Use,"Charles Kieley, Julie Montante, Lauri Kibby, Michael King",Data Not Available,(714) 587-0383,Data Not Available,11/27/2019 0:00,Corporation
CCL18-0000033,Cultivation -  Small Indoor,Active,Data Not Available,"CK ENDEAVORS, INC",Riverside,3/13/2019 0:00,3/13/2024 0:00,Annual,Adult-Use,"Charles Kieley, Lauri Kibby, Michael King",Data Not Available,(760) 799-4935,Data Not Available,3/9/2023 0:00,Corporation
CCL18-0000035,Cultivation -  Small Outdoor,Expired,Data Not Available,Freshwater Farmacy LLC.,Humboldt,5/6/2019 0:00,5/6/2023 0:00,Annual,Adult-Use,"Jensen Hippen, Joy Bucknavage, Mike Lentz",Data Not Available,(707) 601-7834,Data Not Available,6/5/2023 0:00,Limited Liability Company
CCL18-0000036,Cultivation -  Small Indoor,Active,Data Not Available,NC3 Systems,Santa Clara,5/24/2019 0:00,5/24/2024 0:00,Annual,Medicinal,"Greg Gamet, Judith Schvimmer, Laurie Holcomb Thompson, Marshall Minor",Data Not Available,(949) 252-1908,Data Not Available,5/23/2023 0:00,Corporation
CCL18-0000037,Cultivation -  Small Indoor,Active,Data Not Available,NC3 Systems,Santa Clara,5/24/2019 0:00,5/24/2024 0:00,Annual,Medicinal,"Greg Gamet, Judith Schvimmer, Laurie Holcomb Thompson, Marshall Minor",Data Not Available,(949) 252-1908,Data Not Available,5/23/2023 0:00,Corporation
CCL18-0000038,Cultivation -  Nursery,Active,Data Not Available,NC3 Systems,Santa Clara,5/24/2019 0:00,5/24/2024 0:00,Annual,Adult-Use,"Greg Gamet, Judith Schvimmer, Laurie Holcomb Thompson, Marshall Minor",Data Not Available,(949) 252-1908,Data Not Available,5/16/2023 0:00,Corporation
